Player,Pos,Date,RG/PL,Tm,,Opp,,TDS,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oTDR,dTDR,TDR
Magic Johnson,G-F,04/12/1988,RS,LAL,,POR,W,155,40,0,11,11,13,4,1,1,1,23,49.75,19.00,68.75
Magic Johnson,G-F,11/22/1988,RS,LAL,@,NYK,W,155,42,1,11,12,13,6,0,5,2,25,49.52,20.24,69.76
Magic Johnson,G-F,02/22/1984,RS,LAL,@,SEA,L,155,41,6,7,13,11,0,0,6,5,22,49.51,0.24,49.76
Magic Johnson,G-F,02/27/1987,RS,LAL,,GSW,W,155,39,1,9,10,15,1,0,5,0,21,49.23,9.49,58.72
Magic Johnson,G-F,12/04/1987,RS,LAL,@,MIL,L,155,41,1,9,10,12,2,0,5,4,22,48.54,7.56,56.10
Magic Johnson,G-F,05/25/1984,PL,LAL,@,PHO,W,155,43,7,4,11,13,1,1,3,4,16,48.14,3.02,51.16
Magic Johnson,G-F,04/15/1990,RS,LAL,,HOU,W,155,41,1,10,11,11,0,0,7,4,25,47.32,3.41,50.73
Magic Johnson,G-F,05/09/1987,PL,LAL,@,GSW,W,155,38,0,10,10,14,2,0,3,1,20,47.11,12.11,59.21
Magic Johnson,G-F,11/15/1990,RS,LAL,@,HOU,W,155,50,0,10,10,16,3,1,5,2,24,47.00,11.80,58.80
Magic Johnson,G-F,11/28/1984,RS,LAL,@,UTA,W,155,40,1,9,10,14,1,0,2,3,20,46.50,6.25,52.75
Magic Johnson,G-F,11/08/1987,RS,LAL,,HOU,W,155,37,3,7,10,12,1,0,7,1,23,46.22,7.30,53.51
Magic Johnson,G-F,02/21/1985,RS,LAL,@,KCK,W,155,39,2,8,10,17,0,1,5,2,15,46.15,5.90,52.05
Magic Johnson,G-F,03/12/1991,RS,LAL,@,MIA,W,155,42,1,10,11,14,2,0,5,2,21,45.95,10.00,55.95
Magic Johnson,G-F,03/06/1988,RS,LAL,@,DAL,W,155,39,2,8,10,16,1,0,3,1,14,45.90,7.69,53.59
Magic Johnson,G-F,12/29/1984,RS,LAL,,LAC,W,155,44,2,8,10,16,1,1,0,2,15,45.45,7.50,52.95
Magic Johnson,G-F,01/13/1988,RS,LAL,@,LAC,L,155,46,5,6,11,13,2,0,6,0,27,45.43,8.26,53.70
Magic Johnson,G-F,06/02/1991,PL,LAL,@,CHI,W,155,43,0,10,10,11,1,0,5,2,19,45.12,7.44,52.56
Magic Johnson,G-F,11/29/1985,RS,LAL,,SEA,W,155,39,4,12,16,17,4,0,5,1,14,44.10,18.46,62.56
Magic Johnson,G-F,04/05/1987,RS,LAL,@,DEN,W,155,42,4,7,11,10,1,0,2,3,23,43.81,4.52,48.33
Magic Johnson,G-F,06/05/1985,PL,LAL,,BOS,L,155,43,1,10,11,12,2,0,4,3,20,42.56,8.84,51.40
Magic Johnson,G-F,02/19/1991,RS,LAL,@,HOU,W,155,44,4,6,10,17,0,0,5,1,18,42.27,3.18,45.45
Magic Johnson,G-F,04/17/1988,RS,LAL,@,HOU,L,155,41,3,7,10,12,1,0,5,4,19,41.71,3.66,45.37
Magic Johnson,G-F,06/12/1991,PL,LAL,,CHI,L,155,48,4,7,11,20,1,0,6,0,16,41.67,6.46,48.13
Magic Johnson,G-F,02/21/1990,RS,LAL,@,DEN,W,155,44,0,11,11,17,0,0,6,5,17,41.14,2.95,44.09
Magic Johnson,G-F,04/10/1987,RS,LAL,,SAS,W,155,37,0,12,12,13,3,0,5,5,18,40.54,12.43,52.97
Magic Johnson,G-F,12/19/1989,RS,LAL,@,CHI,L,155,42,6,6,12,10,4,0,3,3,18,40.48,10.95,51.43
Magic Johnson,G-F,03/16/1986,RS,LAL,,HOU,W,155,42,2,10,12,12,2,0,6,1,19,40.00,10.95,50.95
Magic Johnson,G-F,06/06/1984,PL,LAL,,BOS,L,155,49,1,10,11,17,2,0,7,5,20,39.18,6.12,45.31
Magic Johnson,G-F,04/22/1984,PL,LAL,@,KCK,W,155,42,0,10,10,13,2,1,3,3,17,38.57,10.71,49.29
Magic Johnson,G-F,02/14/1996,RS,LAL,,ATL,W,155,39,1,9,10,13,1,0,4,3,15,38.21,6.41,44.62
Magic Johnson,G-F,12/07/1989,RS,LAL,,PHO,W,155,41,3,8,11,12,1,1,4,2,18,38.05,8.05,46.10
Magic Johnson,G-F,01/06/1984,RS,LAL,,SAS,L,155,41,3,7,10,12,5,2,6,4,19,37.56,16.83,54.39
Magic Johnson,G-F,05/19/1987,PL,LAL,,SEA,W,155,45,1,9,10,10,2,1,4,3,20,37.56,9.33,46.89
Magic Johnson,G-F,02/26/1985,RS,LAL,,HOU,W,155,40,5,6,11,18,1,1,8,0,15,36.75,8.75,45.50
